,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,Serious / Critical Condition,Total Cases / 1M Population,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population,CapitalLatitude,CapitalLongitude,ContinentName
42,Cuba,776125,6601,730673,38851,458,68573,583,8835501,780641,11318258,23.11666667,-82.35,North America
43,UAE,731307,2069,722723,6515,,72878,206,79589959,7931546,10034608,24.46666667,54.366667,Asia
44,Austria,718091,10870,684548,22673,202,79185,1199,82216463,9066186,9068473,48.2,16.366667,Europe
45,Tunisia,697421,24383,668072,4966,400,58274,2037,2830291,236490,11967895,36.8,10.183333,Africa
46,Vietnam,656129,16425,423551,216153,,6668,167,42517091,432102,98396006,21.03333333,105.85,Asia
47,Greece,625083,14354,584356,26373,359,60328,1385,17406729,1679947,10361475,37.98333333,23.733333,Europe
48,Lebanon,616179,8224,576672,31283,200,90768,1211,4780275,704175,6788478,33.86666667,35.5,Asia
49,Georgia,589727,8390,554618,26719,,148176,2108,8556007,2149800,3979909,41.68333333,44.833333,Europe
50,Saudi Arabia,546336,8645,535309,2382,405,15404,244,28248324,796451,35467756,24.65,46.7,Asia
51,Guatemala,521093,12907,468216,39970,5,28452,705,2373843,129612,18315046,14.61666667,-90.516667,Central America
52,Belarus,510481,3966,498655,7860,,54045,420,8118970,859554,9445566,53.9,27.566667,Europe
53,Ecuador,505860,32559,443880,29421,759,28156,1812,1798012,100078,17966183,-0.216666667,-78.5,South America
54,Costa Rica,502362,5919,404719,91724,489,97541,1149,2214843,430043,5150280,9.933333333,-84.083333,Central America
55,Sri Lanka,498694,11817,428590,58287,,23172,549,4950195,230009,21521726,6.916666667,79.833333,Asia
56,Bolivia,496032,18616,448704,28712,220,41806,1569,2349096,197983,11865122,-16.5,-68.15,South America
57,Bulgaria,478885,19876,419410,39599,396,69553,2887,4560069,662304,6885163,42.68333333,23.316667,Europe
58,Azerbaijan,467173,6227,423705,37241,,45580,608,4702934,458844,10249517,40.38333333,49.866667,Europe
59,Panama,463459,7166,451966,4327,108,105411,1630,3783274,860484,4396682,8.966666667,-79.533333,Central America
60,Paraguay,459524,16120,441169,2235,40,63485,2227,1810321,250104,7238263,-25.26666667,-57.666667,South America
61,Myanmar,440741,16869,391268,32604,,8035,308,4047680,73795,54850343,16.8,96.15,Asia
62,Kuwait,411018,2436,407620,962,23,94557,560,4003280,920982,4346752,29.36666667,47.966667,Asia
63,Slovakia,400348,12566,382734,5048,47,73286,2300,3476350,636363,5462839,48.15,17.116667,Europe
64,Croatia,388260,8472,372145,7643,72,95287,2079,2695369,661498,4074643,45.8,16,Europe
65,Uruguay,387299,6046,379573,1680,13,111029,1733,3480276,997706,3488277,-34.85,-56.166667,South America
66,Palestine,379635,3871,343351,32413,79,72391,738,2359999,450018,5244235,31.76666667,35.233333,Asia
67,Ireland,371301,5179,319927,46195,67,74196,1035,6918733,1382542,5004357,53.31666667,-6.233333,Europe
68,Honduras,356707,9452,108225,239030,530,35336,936,1012717,100323,10094582,14.1,-87.216667,Central America
69,Dominican Republic,354443,4025,345456,4962,134,32283,367,2010899,183155,10979230,18.46666667,-69.9,North America
70,Denmark,353744,2619,344824,6301,26,60814,450,82694744,14216418,5816848,55.66666667,12.583333,Europe
71,Venezuela,352055,4261,336034,11760,681,12423,150,3359014,118532,28338512,10.48333333,-66.866667,South America
72,Libya,328856,4480,243672,80704,,47087,641,1608913,230371,6984020,32.88333333,13.166667,Africa
73,Ethiopia,328735,5059,295604,28072,806,2777,43,3358285,28366,118392154,9.033333333,38.7,Africa
74,Lithuania,312481,4751,290304,17426,136,116758,1775,4669783,1744861,2676306,54.68333333,25.316667,Europe
75,Oman,303309,4092,293618,5599,27,57631,778,25000000,4750165,5262975,23.61666667,58.583333,Asia
76,Egypt,295051,16921,248425,29705,90,2819,162,3068679,29320,104660822,30.05,31.25,Africa
77,S. Korea,281938,2389,254094,25455,332,5493,47,13938959,271595,51322517,,,
78,Slovenia,280544,4486,264155,11903,46,134923,2157,1512931,727621,2079283,46.05,14.516667,Europe
79,Moldova,279143,6569,265144,7430,142,69393,1633,1673626,416053,4022626,47,28.85,Europe
80,Bahrain,274041,1388,271775,878,2,154594,783,6219122,3508370,1772653,26.23333333,50.566667,Asia
81,Mongolia,269476,1083,250200,18193,192,80634,324,3855199,1153576,3341954,47.91666667,106.916667,Asia
82,Armenia,251323,5075,234416,11832,,84622,1709,1633587,550041,2969937,40.16666667,44.5,Europe
83,Kenya,245337,4961,235469,4907,118,4445,90,2478820,44908,55198079,-1.283333333,36.816667,Africa
84,Qatar,235187,604,232817,1766,17,83762,215,2589951,922411,2807805,25.28333333,51.533333,Asia
85,Bosnia and Herzegovina,224862,10161,192218,22483,,69058,3121,1185467,364072,3256133,43.86666667,18.416667,Europe
86,Zambia,208267,3636,203708,923,60,10959,191,2375797,125019,19003464,-15.41666667,28.283333,Africa
87,Algeria,200989,5651,137410,57928,24,4486,126,230861,5153,44805602,36.75,3.05,Africa
88,Nigeria,200957,2647,189346,8964,11,947,12,2942578,13861,212291006,9.083333333,7.533333,Africa
89,North Macedonia,185450,6367,166099,12984,,89019,3056,1238106,594309,2083271,,,
90,Norway,180432,841,88952,90639,20,32971,154,7649323,1397792,5472431,59.91666667,10.75,Europe
91,Kyrgyzstan,177567,2583,172015,2969,131,26686,388,1702807,255908,6653990,42.86666667,74.6,Asia
92,Botswana,172252,2343,167318,2591,1,71508,973,1713133,711185,2408844,-24.63333333,25.9,Africa
93,Uzbekistan,167268,1179,160421,5668,23,4912,35,1377915,40462,34054315,41.31666667,69.25,Asia
94,Albania,160365,2563,144954,12848,3,55799,892,1138183,396028,2873998,41.31666667,19.816667,Europe
95,Afghanistan,154487,7186,121740,25561,1124,3864,180,756460,18919,39984343,34.51666667,69.183333,Asia
96,Mozambique,149804,1902,144875,3027,32,4637,59,884640,27381,32309094,-25.95,32.583333,Africa
97,Latvia,149081,2632,140866,5583,26,80110,1414,4060602,2181993,1860960,56.95,24.1,Europe
98,Estonia,148391,1320,138507,8564,15,111773,994,1834947,1382140,1327613,59.43333333,24.716667,Europe
99,Finland,135314,1051,46000,88263,29,24376,189,6909744,1244747,5551123,60.16666667,24.933333,Europe
